# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	1727
#@/user_id	Windows
a 	啊	c=3 d=0.492072 t=1308
gong xi ni 	恭喜你	c=1 d=0.852144 t=1727
gong zi 	工資	c=0 d=0.0771052 t=1727
gong zuo 	工作	c=4 d=3.29318 t=1373
gong zuo jian bao 	工作簡報	c=1 d=1 t=1237
gong zuo zhuan lan 	工作专栏	c=2 d=0.177284 t=1727
gong zuo zhuan lan biao ti 	工作专栏标题	c=1 d=1.9801e-08 t=1727
gu yi 	故意	c=1 d=0.778801 t=1727
guan bi 	關閉	c=1 d=0.618783 t=1727
guan dao 	管道	c=1 d=0.782705 t=1727
guan diao hou 	关掉后	c=1 d=1.9801e-08 t=1727
guan diao ne 	关掉呢	c=1 d=1.9801e-08 t=1727
guan jian ci 	關鍵詞	c=0 d=0.0198891 t=1727
guan jian zi 	關鍵字	c=1 d=1 t=1567
guan li 	管理	c=0 d=0.1 t=1589
guang biao 	光標	c=1 d=0.918512 t=1727
guang dong gong an 	广东公安	c=1 d=1.9801e-08 t=1727
guang rong bang 	光榮榜	c=1 d=1 t=1407
guang rong bang de 	光荣榜的	c=1 d=1.9801e-08 t=1727
guang zhui 	光追	c=1 d=1.9801e-08 t=1727
gui dao 	軌道	c=1 d=1 t=1503
gui dao gong an 	轨道公安	c=1 d=1.9801e-08 t=1727
gui dao gong an dao hang 	轨道公安导航	c=1 d=1.9801e-08 t=1727
gui dao jiao tong 	軌道交通	c=0 d=0.0187308 t=1727
gui dao jiao tong zhi an 	轨道交通治安	c=1 d=1.9801e-08 t=1727
gui dao jiao tong zhi an fen ju 	軌道交通治安分局	c=1 d=0.188247 t=1727
gui dao zi xun 	轨道咨询	c=2 d=0.0902655 t=1727
gui lv 	規律	c=1 d=1 t=1160
gun dao di liao 	滚到底了	c=1 d=1.9801e-08 t=1727
gun dong 	滾動	c=2 d=1.03909 t=1727
gun dong lan 	滚动栏	c=1 d=1.9801e-08 t=1727
gun dong tiao 	滾動條	c=1 d=1 t=1593
gun lun 	滾輪	c=0 d=0.0529935 t=1727
guo 	過	c=1 d=0.465334 t=1727
guo chang 	過長	c=0 d=0.1 t=1086
guo chang sheng lve 	過長省略	c=1 d=1 t=1087
guo du 	過渡	c=1 d=1 t=1222
guo lv 	過濾	c=1 d=1 t=1451
guo qi fa 	國旗法	c=1 d=0.995012 t=1727
guo qu de 	過去的	c=1 d=0.895834 t=1727
hai 	還	c=0 d=0.099005 t=1727
hai bu 	還不	c=0 d=0.0404542 t=1727
hai bu qing chu 	還不清楚	c=1 d=0.40657 t=1727
hai bu yi ding 	還不一定	c=1 d=1 t=1172
hai hao 	還好	c=2 d=1.96561 t=1318
hai ke yi 	還可以	c=1 d=1 t=1167
hai man you yi si de 	還蠻有意思的	c=1 d=0.99005 t=1727
hai mei chi a 	还没吃啊	c=1 d=1.9801e-08 t=1727
hai tu 	骇兔	c=1 d=1.9801e-08 t=1727
hai yang 	海洋	c=0 d=0.0640825 t=1727
hai yang ma 	海洋嗎	c=1 d=0.644036 t=1727
hai you 	還有	c=1 d=0.348193 t=1727
hai you zhei ge 	还有这个	c=1 d=1.9801e-08 t=1727
han shu 	函數	c=5 d=1.95332 t=1727
han shu hou mian 	函數後面	c=1 d=0.327915 t=1727
hang 	行	c=2 d=1.20701 t=1717
hang hai 	航海	c=0 d=0.0386741 t=1727
hang hai wei zhu de 	航海爲主的	c=1 d=0.38868 t=1727
hang wei 	行尾	c=1 d=0.722527 t=1727
hang zhou gong an 	杭州公安	c=1 d=1.9801e-08 t=1727
hao 	好	c=2 d=1.0488 t=1727
hao ba 	好吧	c=1 d=1 t=1478
hao de 	好得	c=8 d=2.93116 t=1727
hao de 	好的	c=0 d=0.060653 t=1727
hao hen duo 	好很多	c=1 d=0.472367 t=1727
hao le 	好了	c=2 d=1.54646 t=1727
hao ma 	號碼	c=2 d=1.82488 t=1727
hao ma shu ru 	號碼輸入	c=1 d=0.865022 t=1727
hao xiang 	好像	c=4 d=0.962467 t=1727
hao xiang bu xian shi 	好像不顯示	c=1 d=0.169483 t=1727
hao xiang ye mei zhe wen ti 	好像也没这问题	c=1 d=1.9801e-08 t=1727
he 	和	c=8 d=2.49066 t=1727
he bing 	合併	c=2 d=1.96042 t=1727
he bing shu zu 	合併數組	c=1 d=0.311923 t=1727
he ren lei 	和人类	c=1 d=1.9801e-08 t=1727
hei long jiang sheng gong an ting 	黑龙江省公安厅	c=1 d=1.9801e-08 t=1727
hen duo ge 	很多個	c=1 d=1 t=1144
hen xiang le 	很像了	c=1 d=0.786628 t=1727
heng xiang nei rong 	横向内容	c=1 d=1.9801e-08 t=1727
heng xing 	恆星	c=1 d=0.822834 t=1727
hong 	宏	c=1 d=1 t=1546
hong lou meng 	紅樓夢	c=1 d=0.759572 t=1727
hou 	後	c=0 d=0.0557106 t=1727
hou mian 	後面	c=1 d=0.609571 t=1727
hou tai 	後臺	c=1 d=0.755784 t=1727
hou tai guan li 	後臺管理	c=1 d=1 t=1590
hou xuan lan 	候选栏	c=1 d=1.9801e-08 t=1727
hou zhe shuo 	后者说	c=1 d=1.9801e-08 t=1727
hu nan sheng gong an ting 	湖南省公安厅	c=1 d=1.9801e-08 t=1727
